epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1740.91,0.62064,1.26435,1.47199,0.43241,0.524,0.60799,0.53366,0.37111,5.60667,0.63305,0.07012,0.00332,0.00332
2,3493.25,0.50487,0.84878,1.321,0.5125,0.70266,0.58667,0.55576,0.33728,1.80459,0.61035,0.0394613,0.00599465,0.00599465
3,5353.92,0.45206,0.74048,1.25533,0.44937,0.75782,0.70211,0.57132,0.42306,1.34888,0.71043,0.00814264,0.00800931,0.00800931
4,7500.02,0.41981,0.62544,1.22185,0.79665,0.70612,0.8045,0.70125,0.63333,2.28745,1.15583,0.00703,0.00703,0.00703
5,10130.4,0.37969,0.5364,1.18264,0.84667,0.89226,0.97585,0.90676,0.3551,0.74991,0.61289,0.00604,0.00604,0.00604
6,12811.6,0.35748,0.46928,1.1528,0.73398,0.90128,0.96048,0.95346,0.15889,0.74131,0.35202,0.00505,0.00505,0.00505
7,14992.1,0.33674,0.42912,1.14365,0.94759,0.96961,0.98867,0.98778,0.14372,0.30223,0.30499,0.00406,0.00406,0.00406
8,16705.1,0.33093,0.36552,1.14595,0.93306,0.93447,0.99078,0.99016,0.08699,0.37515,0.26867,0.00307,0.00307,0.00307
9,18500.7,0.31196,0.32513,1.1207,0.97491,0.96749,0.99367,0.99324,0.11083,0.24316,0.29947,0.00208,0.00208,0.00208
10,20380.9,0.28497,0.2703,1.09509,0.98178,0.98888,0.99391,0.99309,0.08764,0.18078,0.26772,0.00109,0.00109,0.00109
